### - Time: 430 Res: SAT
[1, 5]: aipg(2, t) <= 1
[6, 9]: aipg(2, t) <= 1
[6, 9]: SUM_[q in {0, 1, 2, 3, 4, }] cenq(q ,t) < 7t
[10, 14]: aipg(4, t) >= 2

### - Time: 518 Res: SAT
[1, 5]: aipg(0, t) <= 1
[6, 9]: SUM_[q in {0, 1, 2, 3, 4, }] cenq(q ,t) < 7t
[10, 14]: aipg(4, t) >= 2

### - Time: 518 Res: SAT
[1, 9]: aipg(0, t) <= 1
[10, 14]: aipg(4, t) == 2

### - Time: 479 Res: SAT
[1, 9]: aipg(1, t) <= 1
[10, 14]: aipg(4, t) == 2

### - Time: 528 Res: SAT
[1, 3]: aipg(1, t) <= 1
[4, 9]: aipg(1, t) <= 1
[4, 9]: aipg(2, t) <= 1
[10, 11]: aipg(4, t) == 2
[10, 11]: aipg(2, t) <= 1
[12, 14]: aipg(4, t) == 2

### - Time: 520 Res: SAT
[11, 11]: aipg(3, t) <= 1
[12, 14]: aipg(4, t) == 2

### - Time: 437 Res: SAT
[1, 11]: aipg(3, t) <= 1
[12, 12]: aipg(4, t) == 2
[13, 13]: aipg(4, t) == 2
[13, 13]: aipg(2, t) == 1
[14, 14]: aipg(4, t) == 2

### - Time: 494 Res: SAT
[1, 8]: aipg(3, t) <= 1
[9, 11]: aipg(3, t) <= 1
[9, 11]: aipg(4, t) == 2
[12, 12]: aipg(4, t) == 2
[13, 13]: aipg(4, t) == 2
[13, 13]: aipg(2, t) == 1
[14, 14]: aipg(4, t) == 2

### - Time: 445 Res: SAT
[1, 8]: aipg(1, t) <= 1
[9, 11]: aipg(3, t) <= 1
[9, 11]: aipg(4, t) == 2
[12, 12]: aipg(4, t) == 2
[13, 13]: aipg(2, t) == 1
[13, 13]: aipg(4, t) == 2
[14, 14]: aipg(4, t) == 2

### - Time: 437 Res: SAT
[1, 8]: aipg(1, t) <= 1
[9, 11]: aipg(4, t) == 2
[9, 11]: aipg(3, t) <= 1
[13, 14]: aipg(1, t) == 1

### - Time: 435 Res: SAT
[1, 8]: aipg(1, t) <= 1
[9, 11]: aipg(4, t) == 2
[9, 11]: aipg(2, t) <= 1
[13, 14]: aipg(1, t) == 1

### - Time: 432 Res: SAT
[9, 10]: aipg(0, t) <= 1
[13, 14]: aipg(1, t) == 1

### - Time: 432 Res: SAT
[1, 6]: aipg(0, t) <= 1
[7, 13]: aipg(0, t) <= 1
[7, 13]: aipg(4, t) >= 2
[14, 14]: aipg(1, t) == 1

### - Time: 429 Res: SAT
[10, 12]: aipg(4, t) <= 2
[13, 13]: aipg(4, t) <= 2
[13, 13]: aipg(4, t) >= 2
[14, 14]: aipg(1, t) == 1
[14, 14]: aipg(4, t) <= 2

### - Time: 425 Res: SAT
[13, 13]: aipg(4, t) >= 2
[14, 14]: aipg(4, t) <= 2
[14, 14]: aipg(4, t) >= 2
[14, 14]: aipg(1, t) == 1

### - Time: 513 Res: SAT
[1, 13]: aipg(3, t) <= 1
[14, 14]: aipg(4, t) <= 2
[14, 14]: aipg(0, t) <= 1
[14, 14]: aipg(1, t) == 1
[14, 14]: aipg(4, t) >= 2

### - Time: 516 Res: SAT
[1, 13]: aipg(2, t) <= 1
[14, 14]: aipg(1, t) == 1
