### - Time: 200 Res: SAT
[11, 14]: aipg(1, t) == 1

### - Time: 203 Res: SAT
[2, 11]: aipg(4, t) >= 2

### - Time: 235 Res: SAT
[4, 8]: aipg(4, t) >= 2
[9, 10]: aipg(4, t) >= 2
[9, 10]: cenq(4, t) < 6t
[11, 14]: cenq(4, t) < 6t
[11, 14]: aipg(4, t) == 2

### - Time: 247 Res: SAT
[1, 11]: aipg(1, t) <= 1
[12, 14]: aipg(1, t) <= 1
[12, 14]: aipg(4, t) == 2

### - Time: 248 Res: SAT
[1, 11]: aipg(2, t) <= 1
[12, 14]: aipg(4, t) == 2

### - Time: 300 Res: SAT
[1, 10]: aipg(2, t) <= 1
[11, 11]: aipg(2, t) <= 1
[12, 14]: cenq(4, t) >= 3
[12, 14]: aipg(4, t) >= 2

### - Time: 199 Res: SAT
[1, 8]: aipg(2, t) <= 1
[9, 10]: aipg(2, t) <= 1
[9, 10]: aipg(4, t) >= 2
[11, 11]: aipg(2, t) <= 1
[11, 11]: aipg(4, t) >= 2
[12, 14]: aipg(4, t) >= 2
[12, 14]: cenq(4, t) >= 3

### - Time: 243 Res: SAT
[8, 8]: aipg(4, t) >= 2
[9, 10]: aipg(4, t) >= 2
[9, 10]: aipg(2, t) <= 1
[9, 10]: aipg(4, t) >= 2
[11, 11]: aipg(2, t) <= 1
[11, 11]: aipg(4, t) >= 2
[12, 14]: aipg(4, t) >= 2
[12, 14]: cenq(4, t) >= 3

### - Time: 248 Res: SAT
[8, 8]: aipg(4, t) >= 2
[9, 10]: aipg(2, t) <= 1
[9, 10]: aipg(4, t) >= 2
[9, 10]: aipg(4, t) <= 2
[11, 11]: aipg(2, t) <= 1
[11, 11]: aipg(4, t) >= 2
[12, 14]: aipg(4, t) >= 2
[12, 14]: cenq(4, t) >= 3

### - Time: 197 Res: SAT
[8, 8]: aipg(4, t) >= 2
[9, 10]: aipg(4, t) >= 2
[9, 10]: aipg(4, t) <= 2
[9, 10]: aipg(2, t) <= 1
[11, 11]: aipg(4, t) >= 2
[11, 11]: aipg(2, t) <= 1
[12, 14]: cenq(4, t) >= 4
[12, 14]: aipg(4, t) >= 2

### - Time: 249 Res: SAT
[8, 8]: aipg(4, t) >= 2
[9, 10]: aipg(4, t) >= 2
[9, 10]: aipg(4, t) <= 2
[11, 11]: aipg(2, t) <= 1
[11, 14]: cenq(4, t) >= 4
[12, 14]: aipg(4, t) >= 2
[12, 14]: cenq(4, t) >= 4

### - Time: 246 Res: SAT
[8, 8]: aipg(4, t) >= 3
[9, 10]: aipg(4, t) >= 2
[11, 14]: cenq(4, t) >= 4
[12, 14]: cenq(4, t) >= 4
[12, 14]: aipg(4, t) >= 2

### - Time: 246 Res: SAT
[8, 8]: aipg(2, t) <= 1
[8, 8]: aipg(4, t) >= 3
[9, 10]: aipg(2, t) <= 1
[9, 10]: aipg(4, t) >= 2
[11, 11]: aipg(2, t) <= 1
[11, 14]: cenq(4, t) >= 4
[12, 14]: aipg(4, t) >= 2
[12, 14]: aipg(2, t) <= 1

### - Time: 200 Res: SAT
[8, 8]: aipg(2, t) <= 1
[8, 8]: aipg(4, t) >= 3
[9, 10]: aipg(2, t) <= 1
[9, 10]: aipg(4, t) >= 2
[11, 11]: aipg(2, t) <= 1
[11, 14]: cenq(4, t) >= 4
[12, 14]: aipg(4, t) >= 2
[12, 14]: aipg(3, t) <= 1

### - Time: 252 Res: SAT
[4, 7]: aipg(4, t) >= 3
[8, 8]: aipg(2, t) <= 1
[8, 8]: aipg(4, t) >= 3
[11, 14]: cenq(4, t) >= 4
[12, 14]: aipg(4, t) >= 2
[12, 14]: aipg(3, t) <= 1

### - Time: 253 Res: SAT
[4, 7]: aipg(4, t) >= 4
[8, 8]: aipg(4, t) >= 3
[8, 8]: aipg(2, t) <= 1
[11, 14]: cenq(4, t) >= 4
[12, 14]: aipg(4, t) >= 2
[12, 14]: aipg(3, t) <= 1

### - Time: 249 Res: SAT
[4, 7]: aipg(4, t) >= 4
[11, 14]: cenq(4, t) >= 4
[12, 14]: aipg(4, t) >= 2
[12, 14]: aipg(1, t) <= 1

